age,job,marital,education,balance,housing,loan,day,month,duration,campaign,poutcome,deposit,pdays_contacted,housing_loan_interaction
59,admin.,married,secondary,2343,1,0,5,5,17.37,1 fois,missing,1,0,0
56,admin.,married,secondary,45,0,0,5,5,24.45,1 fois,missing,1,0,0
41,technician,married,secondary,1270,1,0,5,5,23.15,1 fois,missing,1,0,0
55,services,married,secondary,2476,1,0,5,5,9.65,1 fois,missing,1,0,0
54,admin.,married,tertiary,184,0,0,5,5,11.22,2 fois,missing,1,0,0
42,management,single,tertiary,0,1,1,5,5,9.37,2 fois,missing,1,0,1
56,management,married,tertiary,830,1,1,6,5,20.02,1 fois,missing,1,0,1
60,retired,divorced,secondary,545,1,0,6,5,17.17,1 fois,missing,1,0,0
37,technician,married,secondary,1,1,0,6,5,10.13,1 fois,missing,1,0,0
28,services,single,secondary,5090,1,0,6,5,21.62,3-6 fois,missing,1,0,0
38,admin.,single,secondary,100,1,0,7,5,13.1,1 fois,missing,1,0,0
30,blue-collar,married,secondary,309,1,0,7,5,26.23,2 fois,missing,1,0,0
29,management,married,tertiary,199,1,1,7,5,28.15,3-6 fois,missing,1,0,1
46,blue-collar,single,tertiary,460,1,0,7,5,18.37,2 fois,missing,1,0,0
31,technician,single,tertiary,703,1,0,8,5,15.72,2 fois,missing,1,0,0
35,management,divorced,tertiary,3837,1,0,8,5,18.07,1 fois,missing,1,0,0
32,blue-collar,single,primary,611,1,0,8,5,9.02,3-6 fois,missing,1,0,0
49,services,married,secondary,-8,1,0,8,5,18.65,1 fois,missing,1,0,0
41,admin.,married,secondary,55,1,0,8,5,18.67,2 fois,missing,1,0,0
49,admin.,divorced,secondary,168,1,1,8,5,8.55,1 fois,missing,1,0,1
28,admin.,divorced,secondary,785,1,0,8,5,7.37,2 fois,missing,1,0,0
43,management,single,tertiary,2067,1,0,8,5,12.6,1 fois,missing,1,0,0
43,management,divorced,tertiary,388,1,0,8,5,34.78,2 fois,missing,1,0,0
43,blue-collar,married,primary,-192,1,0,8,5,18.67,2 fois,missing,1,0,0
37,unemployed,single,secondary,381,1,0,8,5,16.42,2 fois,missing,1,0,0
35,blue-collar,single,secondary,40,1,0,9,5,10.28,3-6 fois,missing,1,0,0
31,technician,single,tertiary,22,1,0,9,5,8.05,3-6 fois,missing,1,0,0
43,blue-collar,single,secondary,3,1,0,9,5,15.48,3-6 fois,missing,1,0,0
31,admin.,married,secondary,307,1,0,9,5,8.97,1 fois,missing,1,0,0
28,blue-collar,single,secondary,759,1,0,9,5,11.83,1 fois,missing,1,0,0
32,blue-collar,married,secondary,-1,1,0,9,5,10.88,1 fois,missing,1,0,0
60,technician,married,primary,65,1,0,9,5,17.13,2 fois,missing,1,0,0
26,blue-collar,single,secondary,82,1,0,9,5,10.9,1 fois,missing,1,0,0
40,blue-collar,married,secondary,10,1,0,9,5,28.2,2 fois,missing,1,0,0
33,blue-collar,divorced,primary,390,1,0,9,5,11.08,2 fois,missing,1,0,0
32,management,single,tertiary,311,0,0,12,5,12.62,2 fois,missing,1,0,0
35,blue-collar,married,primary,414,0,0,13,5,8.4,3-6 fois,missing,1,0,0
33,management,divorced,secondary,5,1,0,13,5,22.43,1 fois,missing,1,0,0
38,management,married,tertiary,119,1,0,13,5,9.47,3-6 fois,missing,1,0,0
23,entrepreneur,single,primary,4,1,0,13,5,6.58,2 fois,missing,1,0,0
60,blue-collar,married,primary,1262,1,1,13,5,16.92,1 fois,missing,1,0,1
48,management,married,tertiary,1949,1,0,13,5,11.38,2 fois,missing,1,0,0
45,entrepreneur,divorced,tertiary,-395,1,0,13,5,7.83,1 fois,missing,1,0,0
36,blue-collar,married,secondary,1165,1,0,13,5,16.68,3-6 fois,missing,1,0,0
52,management,married,,2240,1,0,13,5,14.08,1 fois,missing,1,0,0
35,blue-collar,divorced,primary,300,1,0,13,5,15.75,2 fois,missing,1,0,0
43,technician,married,secondary,3285,1,0,13,5,28.68,2 fois,missing,1,0,0
52,housemaid,married,secondary,3923,1,0,14,5,15.7,3-6 fois,missing,1,0,0
53,technician,divorced,primary,1443,1,0,14,5,7.93,1 fois,missing,1,0,0
48,blue-collar,divorced,primary,24,1,0,14,5,13.87,1 fois,missing,1,0,0
41,blue-collar,single,primary,1618,1,0,14,5,25.88,1 fois,missing,1,0,0
39,management,divorced,tertiary,517,1,1,14,5,22.13,1 fois,missing,1,0,1
59,retired,married,secondary,1521,1,1,14,5,18.75,2 fois,missing,1,0,1
41,blue-collar,married,secondary,2823,1,0,14,5,14.3,1 fois,missing,1,0,0
48,blue-collar,married,secondary,1405,1,0,14,5,10.48,2 fois,missing,1,0,0
40,admin.,married,secondary,1535,1,0,14,5,11.73,1 fois,missing,1,0,0
48,blue-collar,married,secondary,1596,1,0,14,5,12.67,1 fois,missing,1,0,0
60,retired,married,primary,1542,1,0,14,5,15.5,1 fois,missing,1,0,0
40,technician,single,,3652,1,0,14,5,17.13,2 fois,missing,1,0,0
57,technician,married,tertiary,-1,0,0,14,5,14.17,2 fois,missing,1,0,0
51,blue-collar,married,secondary,7180,1,0,14,5,15.45,1 fois,missing,1,0,0
41,blue-collar,divorced,secondary,5291,1,0,14,5,23.72,3-6 fois,missing,1,0,0
41,blue-collar,married,secondary,1384,1,0,15,5,19.37,3-6 fois,missing,1,0,0
52,blue-collar,divorced,primary,-191,1,0,15,5,12.58,1 fois,missing,1,0,0
59,blue-collar,married,primary,320,1,0,15,5,11.58,1 fois,missing,1,0,0
44,blue-collar,married,,146,1,0,15,5,8.05,1 fois,missing,1,0,0
49,,married,primary,341,1,1,15,5,8.67,2 fois,missing,1,0,1
40,services,married,primary,-9,1,0,15,5,15.33,2 fois,missing,1,0,0
41,admin.,married,primary,-306,1,0,15,5,8.33,1 fois,missing,1,0,0
44,technician,married,tertiary,4580,1,0,15,5,15.18,2 fois,missing,1,0,0
60,services,single,primary,313,1,0,15,5,15.33,2 fois,missing,1,0,0
29,management,married,tertiary,10576,0,0,15,5,20.4,2 fois,missing,1,0,0
41,retired,divorced,primary,-233,1,0,15,5,19.27,2 fois,missing,1,0,0
41,blue-collar,married,primary,2453,1,0,15,5,17.53,1 fois,missing,1,0,0
42,technician,single,secondary,1364,1,0,15,5,31.12,3-6 fois,missing,1,0,0
36,services,single,,281,1,0,16,5,8.58,1 fois,missing,1,0,0
39,technician,married,tertiary,94,1,1,16,5,13.55,1 fois,missing,1,0,1
31,self-employed,single,tertiary,144,1,0,16,5,11.27,1 fois,missing,1,0,0
26,blue-collar,married,secondary,246,1,0,16,5,19.05,3-6 fois,missing,1,0,0
31,blue-collar,married,secondary,92,1,0,16,5,11.47,1 fois,missing,1,0,0
29,admin.,single,secondary,163,1,1,16,5,13.38,1 fois,missing,1,0,1
37,services,divorced,secondary,49,1,0,16,5,10.32,2 fois,missing,1,0,0
33,blue-collar,single,secondary,-416,1,0,16,5,12.78,2 fois,missing,1,0,0
24,technician,single,secondary,409,1,0,16,5,15.2,1 fois,missing,1,0,0
50,admin.,divorced,secondary,363,1,0,16,5,22.33,1 fois,missing,1,0,0
27,technician,single,tertiary,3706,1,0,16,5,14.95,1 fois,missing,1,0,0
54,management,single,tertiary,4393,1,0,16,5,21.62,3-6 fois,missing,1,0,0
30,technician,single,secondary,863,1,0,16,5,19.88,3-6 fois,missing,1,0,0
34,blue-collar,married,primary,695,1,1,16,5,17.73,3-6 fois,missing,1,0,1
37,management,single,secondary,792,1,0,16,5,19.78,3-6 fois,missing,1,0,0
